OrderDetailID,OrderID,ProductID,Quantity,Price
1,8710,87,1,777
2,1982,12,2,910
3,6941,77,3,195
4,3115,34,3,569
5,8899,89,4,61
6,2296,66,1,649
7,5438,41,3,634
8,8973,54,3,95
9,5679,21,3,409
10,8463,95,1,451
11,3653,18,2,960
12,5926,80,1,61
13,5362,78,1,910
14,6238,97,4,980
15,6624,46,3,67
16,5524,7,1,960
17,2467,38,3,223
18,3208,20,1,704
19,2711,4,1,777
20,4955,11,2,998
21,1530,6,3,527
22,180,7,1,165
23,2696,45,4,61
24,8803,30,1,428
25,4421,87,2,522
26,961,28,3,450
27,7359,99,1,954
28,2776,56,4,165
29,9505,1,4,450
30,1282,88,3,95
31,7889,60,1,53
32,1418,48,4,749
33,741,28,3,106
34,6722,55,4,91
35,4556,98,3,837
36,3087,81,4,954
37,471,88,4,422
38,7028,31,4,527
39,1190,20,1,742
40,5789,59,2,254
41,3576,29,1,210
42,9422,28,2,195
43,1145,78,2,413
44,8875,42,1,427
45,5097,64,1,604
46,1510,26,4,389
47,3740,11,2,604
48,3934,16,1,742
49,5628,36,1,446
50,7368,29,2,704
51,8048,91,1,960
52,8275,29,4,569
53,3969,28,1,735
54,876,96,3,835
55,8414,27,2,502
56,8185,11,3,232
57,1565,45,3,742
58,648,72,1,489
59,1190,56,4,165
60,1795,49,2,730
61,5431,53,2,297
62,5116,68,1,232
63,2217,52,3,634
64,155,76,2,502
65,1116,32,3,873
66,9372,59,1,254
67,7359,76,4,799
68,6719,64,1,614
69,2825,56,3,739
70,5204,60,3,195
71,3549,25,2,91
72,9245,88,2,451
73,9611,84,1,481
74,6615,50,3,735
75,7889,7,3,198
76,1176,96,1,83
77,2083,6,3,511
78,4922,83,3,624
79,9151,52,4,223
80,6859,18,4,670
81,9975,12,3,272
82,3294,37,1,198
83,8892,10,3,165
84,7591,87,2,511
85,6548,82,2,89
86,5718,21,1,409
87,1624,54,1,519
88,4544,13,4,742
89,8846,66,2,799
90,4237,66,3,61
91,4353,18,3,217
92,2551,35,1,83
93,3675,98,3,67
94,1293,74,2,364
95,8072,32,3,446
96,1554,25,4,171
97,4770,24,3,30
98,9274,85,2,106
99,8475,39,1,673
100,3730,60,4,413
101,9273,98,4,450
102,4978,26,4,422
103,5824,42,3,998
104,591,39,3,980
105,4923,69,3,604
106,3779,70,4,893
107,9721,96,3,498
108,4374,41,4,489
109,5554,32,4,139
110,2455,8,3,604
111,84,18,1,297
112,6580,58,4,673
113,5895,1,3,489
114,1927,24,2,30
115,8141,47,1,928
116,745,81,2,742
117,8343,63,3,670
118,2884,18,1,41
119,2249,20,3,95
120,8554,26,2,446
121,1216,94,2,474
122,4626,91,3,471
123,4259,39,3,645
124,2327,23,1,821
125,1159,90,1,527
126,7869,5,3,569
127,945,14,1,777
128,5114,99,4,171
129,4851,96,1,670
130,4804,45,4,30
131,9602,68,1,202
132,2938,22,2,498
133,3759,33,2,763
134,4555,13,3,409
135,9230,72,1,645
136,8808,46,3,910
137,7298,73,2,53
138,4,58,1,498
139,4755,28,4,428
140,5064,1,1,169
141,1613,15,2,616
142,4530,7,1,389
143,4722,17,1,527
144,8404,76,3,451
145,2241,55,3,835
146,4323,63,2,433
147,8532,93,3,813
148,5964,56,3,41
149,7154,14,1,53
150,8871,77,3,514
151,2461,56,3,749
152,4419,32,1,139
153,2557,25,3,960
154,4171,91,3,171
155,7796,24,4,364
156,2388,13,2,413
