OrderID,CustomerID,OrderDate,TotalAmount
1,6041,2023-01-01 00:00:00,2093
2,1140,2023-01-01 01:00:00,510
3,7968,2023-01-01 02:00:00,4009
4,5654,2023-01-01 03:00:00,3488
5,6493,2023-01-01 04:00:00,1068
6,4663,2023-01-01 05:00:00,218
7,3517,2023-01-01 06:00:00,390
8,9789,2023-01-01 07:00:00,4206
9,1146,2023-01-01 08:00:00,418
10,1628,2023-01-01 09:00:00,479
11,1246,2023-01-01 10:00:00,2624
12,9675,2023-01-01 11:00:00,3266
13,5762,2023-01-01 12:00:00,4688
14,9714,2023-01-01 13:00:00,1313
15,370,2023-01-01 14:00:00,2779
16,4856,2023-01-01 15:00:00,2411
17,5321,2023-01-01 16:00:00,3679
18,3233,2023-01-01 17:00:00,1218
19,1786,2023-01-01 18:00:00,489
20,575,2023-01-01 19:00:00,4954
21,5505,2023-01-01 20:00:00,1984
22,8021,2023-01-01 21:00:00,2605
23,3704,2023-01-01 22:00:00,2297
24,5478,2023-01-01 23:00:00,1749
25,2573,2023-01-02 00:00:00,1193
26,5906,2023-01-02 01:00:00,2694
27,2116,2023-01-02 02:00:00,185
28,7438,2023-01-02 03:00:00,2749
29,9349,2023-01-02 04:00:00,1711
30,1086,2023-01-02 05:00:00,2642
31,8353,2023-01-02 06:00:00,4358
32,7194,2023-01-02 07:00:00,2435
33,8951,2023-01-02 08:00:00,646
34,2749,2023-01-02 09:00:00,2325
35,5406,2023-01-02 10:00:00,3426
36,9022,2023-01-02 11:00:00,1151
37,9041,2023-01-02 12:00:00,3975
38,7900,2023-01-02 13:00:00,1664
39,6982,2023-01-02 14:00:00,2314
40,4345,2023-01-02 15:00:00,4293
41,7204,2023-01-02 16:00:00,3237
42,9722,2023-01-02 17:00:00,2105
43,5441,2023-01-02 18:00:00,4507
44,2893,2023-01-02 19:00:00,4707
45,3625,2023-01-02 20:00:00,2861
46,6688,2023-01-02 21:00:00,950
47,9870,2023-01-02 22:00:00,4236
48,7424,2023-01-02 23:00:00,356
49,6305,2023-01-03 00:00:00,2751
50,4106,2023-01-03 01:00:00,2202
51,4455,2023-01-03 02:00:00,1279
52,9492,2023-01-03 03:00:00,1078
53,2172,2023-01-03 04:00:00,3468
54,8822,2023-01-03 05:00:00,2436
55,8470,2023-01-03 06:00:00,73
56,1024,2023-01-03 07:00:00,1172
57,4622,2023-01-03 08:00:00,4396
58,9392,2023-01-03 09:00:00,4364
59,1718,2023-01-03 10:00:00,1826
60,7204,2023-01-03 11:00:00,606
61,1981,2023-01-03 12:00:00,4472
62,1591,2023-01-03 13:00:00,506
63,270,2023-01-03 14:00:00,1728
64,4098,2023-01-03 15:00:00,4026
65,2621,2023-01-03 16:00:00,4647
66,9579,2023-01-03 17:00:00,3050
67,5227,2023-01-03 18:00:00,4322
68,5254,2023-01-03 19:00:00,1910
